Contract,Author_Position,Original_Contract_Title,English_Title,Scopus,Web_of_Science,Rubles,,,,,,,,,,,,,,,
1,1,Прогноз дорожной ситуации на базе статистических данных для оптимизации движения общественного транспорта в реальном времени,The forecast of the road situation on the basis of statistical data to optimize the movement of public transport in real time,Q2,FALSE,57400,,,,,,,,,,,,,,,#N/A
1,2,Прогноз дорожной ситуации на базе статистических данных для оптимизации движения общественного транспорта в реальном времени,The forecast of the road situation on the basis of statistical data to optimize the movement of public transport in real time,Q2,FALSE,53300,,,,,,,,,,,,,,,
1,3,Прогноз дорожной ситуации на базе статистических данных для оптимизации движения общественного транспорта в реальном времени,The forecast of the road situation on the basis of statistical data to optimize the movement of public transport in real time,Q2,FALSE,49200,,,,,,,,,,,,,,,
1,4,Прогноз дорожной ситуации на базе статистических данных для оптимизации движения общественного транспорта в реальном времени,The forecast of the road situation on the basis of statistical data to optimize the movement of public transport in real time,Q2,FALSE,45100,,,,,,,,,,,,,,,
1,5,Прогноз дорожной ситуации на базе статистических данных для оптимизации движения общественного транспорта в реальном времени,The forecast of the road situation on the basis of statistical data to optimize the movement of public transport in real time,Q2,FALSE,41000,,,,,,,,,,,,,,,
2,1,"Аддитивные технологии и оптимизация геометрии машин и механизмов
 Additive technologies and optimization of the geometry of machines and mechanisms",Additive technologies and optimization of the geometry of machines and mechanisms,Q4,FALSE,39360,,,,,,,,,,,,,,,
2,2,"Аддитивные технологии и оптимизация геометрии машин и механизмов
 Additive technologies and optimization of the geometry of machines and mechanisms",Additive technologies and optimization of the geometry of machines and mechanisms,Q4,FALSE,36080,,,,,,,,,,,,,,,
2,3,"Аддитивные технологии и оптимизация геометрии машин и механизмов
 Additive technologies and optimization of the geometry of machines and mechanisms",Additive technologies and optimization of the geometry of machines and mechanisms,Q4,FALSE,32800,,,,,,,,,,,,,,,
3,1,Аддитивные технологии в производстве кондитерских изделий  от геометрии к новым органолептическим качествам,Additive technologies in the production of confectionery from geometry to new organoleptic qualities,Q2,TRUE,90200,,,,,,,,,,,,,,,
3,2,Аддитивные технологии в производстве кондитерских изделий  от геометрии к новым органолептическим качествам,Additive technologies in the production of confectionery from geometry to new organoleptic qualities,Q2,TRUE,82000,,,,,,,,,,,,,,,
